,Paper Title,Authors,Description,Tags/Comments,Conference Venue,Year,Paper link,Additional resources
108,Loss-Aversively Fair Classification,"Junaid Ali, Muhammad Bilal Zafar, Adish Singla,  Krishna P. Gummadi",,"Statistical Modeling-Optimization Function, Mitigation (Traditional)",AIES,2019,https://dl.acm.org/doi/10.1145/3306618.3314266,
109,FairEGM: Fair Link Prediction and Recommendation via Emulated Graph Modification,"Sean Current, Yuntian He, Saket Gurukar,  Srinivasan Parthasarathy",,"Statistical Modeling-Optimization Function, Mitigation (Traditional)",EAAMO,2022,https://dl.acm.org/doi/10.1145/3551624.3555287,
110,FairBatch: Batch Selection for Model Fairness,"Yuji Roh, Kangwook Lee, Steven Euijong Whang, Changho Suh",,"Statistical Modeling-Optimization Function, Mitigation (Traditional)",ICLR,2021,https://openreview.net/forum?id=YNnpaAKeCfx,
111,Achieving Equalized Odds by Resampling Sensitive Attributes,"Yaniv Romano, Stephen Bates, Emmanuel Ces",,"Statistical Modeling-Optimization Function, Mitigation (Traditional)",NeurIPS,2020,https://proceedings.neurips.cc/paper/2020/hash/03593ce517feac573fdaafa6dcedef61-Abstract.html,
112,"Average individual fairness: algorithms, generalization and experiments","Saeed Sharifi-Malvajerdi, Michael Kearns,  Aaron Roth",,"Statistical Modeling-Optimization Function, Mitigation (Traditional)",NeurIPS,2019,https://dl.acm.org/doi/abs/10.5555/3454287.3455027,
113,Fair regression with wasserstein barycenters,"Evgenii Chzhen, Christophe Denis, Mohamed Hebiri, Luca Oneto,  Massimiliano Pontil",,"Statistical Modeling-Optimization Function, Mitigation (Traditional)",NeurIPS,2020,https://dl.acm.org/doi/abs/10.5555/3495724.3496338,
114,A Fair Classifier Using Kernel Density Estimation,"Jaewoong Cho, Gyeongjo Hwang,  Changho Suh",,"Statistical Modeling-Optimization Function, Mitigation (Traditional)",NeurIPS,2020,https://proceedings.neurips.cc/paper/2020/hash/ac3870fcad1cfc367825cda0101eee62-Abstract.html,
115,Sample Selection for Fair and Robust Training,"Yuji Roh, Kangwook Lee, Steven Whang,  Changho Suh",,"Statistical Modeling-Optimization Function, Mitigation (Traditional)",NeurIPS,2021,https://openreview.net/forum?id=IZNR0RDtGp3,
116,Learning to pivot with adversarial networks,"Gilles Louppe, Michael Kagan,  Kyle Cranmer",,"Statistical Modeling-Optimization Function, Mitigation (Traditional)",NeurIPS,2017,https://dl.acm.org/doi/10.5555/3294771.3294865,
117,Tilted Empirical Risk Minimization,"Tian Li, Ahmad Beirami, Maziar Sanjabi,  Virginia Smith",,"Statistical Modeling-Optimization Function, Mitigation",ICLR,2021,https://openreview.net/forum?id=K5YasWXZT3O,
118,Gradient Driven Rewards to Guarantee Fairness in Collaborative Machine Learning,"Xinyi Xu, Lingjuan Lyu, Xingjun Ma, Chenglin Miao, Chuan Sheng Foo,  Bryan Kian Hsiang Low",,"Statistical Modeling-Optimization Function, Mitigation",NeurIPS,2021,https://openreview.net/forum?id=yRfsADObu18,
119,Matching Learned Causal Effects of Neural Networks with Domain Priors,"Sai Srinivas Kancheti, Abbavaram Gowtham Reddy, Vineeth N Balasubramanian,  Amit Sharma",,"Statistical Modeling-Regularizers, Mitigation",ICML,2022,https://proceedings.mlr.press/v162/kancheti22a.html,
120,Selective Regression under Fairness Criteria,"Abhin Shah, Yuheng Bu, Joshua K Lee, Subhro Das, Rameswar Pa, Prasanna Sattigeri,  Gregory W Wornell",,"Statistical Modeling-Regularizers, Mitigation",ICML,2022,https://proceedings.mlr.press/v162/shah22a.html,
121,When Trusted Black Boxes Don't Agree: Incentivizing Iterative Improvement and Accountability in Critical Software Systems,"Jeanna Neefe Matthews, Graham Northup, Isabella Grasso, Stephen Lorenz, Marzieh Babaeianjelodar, Hunter Bashaw, Sumona Mondal, Abigail Matthews, Mariama Njie, Jessica Goldthwaite",,"Statistical Modeling-Hyperparameters, Problem Identification",AIES,2020,https://dl.acm.org/doi/10.1145/3375627.3375807,
122,Can Information Flows Suggest Targets for Interventions in Neural Circuits?,"Praveen Venkatesh, Sanghamitra Dutta, Neil Mehta,  Pulkit Grover",,"Statistical Modeling-Hyperparameters, Mitigation",NeurIPS,2021,https://openreview.net/forum?id=jBQaRXpEgO,
123,GetFair: Generalized Fairness Tuning of Classification Models,"Sipan Sikdar, Florian Lemmerich,  Markus Strohmaier",,"Statistical Modeling-Hyperparameters, Mitigation",FAccT,2022,https://dl.acm.org/doi/10.1145/3531146.3533094,
124,Multi-objective multi-fidelity hyperparameter optimization with application to fairness,"Robin Schmucker, Michele Donini, Valerio Perrone,  Cédric Archambeau",,"Statistical Modeling-Hyperparameters, Mitigation",NeurIPS workshop on Meta-learning,2020,https://www.amazon.science/publications/multi-objective-multi-fidelity-hyperparameter-optimization-with-application-to-fairness,
125,Can We Obtain Fairness For Free?,"Rashidul Islam, Shimei Pan,  James R Foulds",,"Statistical Modeling-Hyperparameters, Mitigation",AIES,2021,https://dl.acm.org/doi/abs/10.1145/3461702.3462614,
126,Fair Bayesian Optimization,"Valerio Perrone, Michele Donini, Muhammad Bilal Zafar, Robin Schmucker, Krishnaram Kenthapadi,  Cédric Archambeau",,"Statistical Modeling-Hyperparameters, Mitigation",AIES,2021,https://dl.acm.org/doi/abs/10.1145/3461702.3462629,
127,Subgroup Generalization and Fairness of Graph Neural Networks,"Jiaqi Ma, Junwei Deng,  Qiaozhu Mei",,"Statistical Modeling-General, Problem Identification",NeurIPS,2021,https://openreview.net/forum?id=68B1ezcffDc,
128,Measuring Fairness of Rankings under Noisy Sensitive Information,"Azin Ghazimatin, Matthaus Kleindessner, Chris Russell, Ziawasch Abedjan,  Jacek Golebiowski",,"Statistical Modeling-General, Problem Identification",FAccT,2022,https://dl.acm.org/doi/10.1145/3531146.3534641,
129,Too Relaxed to Be Fair,"Michael Lohaus, Michael Perrot,  Ulrike Von Luxburg",,"Statistical Modeling-General, Problem Identification",ICML,2020,https://proceedings.mlr.press/v119/lohaus20a.html,
130,Characterizing Fairness Over the Set of Good Models Under Selective Labels,"Ama Coston, Ashesh Rambachan,  Alexra Chouldechova",,"Statistical Modeling-General, Problem Identification",ICML,2021,https://proceedings.mlr.press/v139/coston21a.html,
131,"Putting Fairness Principles into Practice: Challenges, Metrics, and Improvements","Alex Beutel, Jilin Chen, Tulsee Doshi, Hai Qian, Allison Woodruff, Christine Luu, Pierre Kreitmann, Jonathan Bischof,  Ed H. Ch",,"Statistical Modeling-General, Problem Identification",AIES,2019,https://dl.acm.org/doi/10.1145/3306618.3314234,
132,A Sandbox Tool to Bias(Stress)-Test Fairness Algorithms,"Nil-Jana Akpinar, Manish Nagireddy, Logan Stapleton, Hao-Fei Cheng, Haiyi Zhu, Steven Wu,  Hoda Heidari",,"Statistical Modeling-General, Problem Identification",EAAMO,2022,https://arxiv.org/abs/2204.10233,
133,Differential privacy has disparate impact on model accuracy,"Eugene Bagdasaryan, Omid Poursaeed,  Vitaly Shmatikov",,"Statistical Modeling-General, Problem Identification",NeurIPS,2019,https://dl.acm.org/doi/abs/10.5555/3454287.3455674,
134,"Fair, Robust, and Data-Efficient Machine Learning in Healthcare",Harvineet Singh,,"Statistical Modeling-General, Problem Identification (Case Study)",AIES,2022,https://dl.acm.org/doi/10.1145/3514094.3539552,
135,Learning the Pareto Front with Hypernetworks,"Aviv Navon, Aviv Shamsian, Ethan Fetaya,  Gal Chechik",,"Statistical Modeling-General, Measurement",NeurIPS,2021,https://openreview.net/forum?id=NjF772F4ZZR,
136,Fairness Under Unawareness: Assessing Disparity When Protected Class Is Unobserved,"Jiahao Chen, Nathan Kallus, Xiaojie Mao, Geoffry Svacha,  Madeleine Udell",,"Statistical Modeling-General, Measurement",FAccT,2019,https://dl.acm.org/doi/10.1145/3287560.3287594,
137,POTs: protective optimization technologies,"Bogdan Kulynych, Rebekah Overdorf, Carmela Troncoso,  Seda Gürses",,"Statistical Modeling-General, Measurement",FAccT,2020,https://dl.acm.org/doi/10.1145/3351095.3372853,
138,Directional Bias Amplification,"Angelina Wang, Olga Russakovsky",,"Statistical Modeling-General, Measurement",ICML,2021,https://proceedings.mlr.press/v139/wang21t.html,
139,On the Tradeoff Between Robustness and Fairness,"Xinsong Ma, Zekai Wang,  Weiwei Liu",,"Statistical Modeling-General, Measurement",NeurIPS,2022,https://openreview.net/forum?id=LqGA2JMLwBw,
140,Refining Language Models with Compositional Explanations,"Huihan Yao, Ying Chen, Qinyuan Ye, Xisen Jin,  Xiang Ren",,"Statistical Modeling-General, Mitigation",NeurIPS,2021,https://openreview.net/forum?id=dkw9OQMn1t,
141,Noise-tolerant fair classification,"Alex Lamy, Ziyuan Zhong, Aditya K Menon,  Nakul Verma",,"Statistical Modeling-General, Mitigation",NeurIPS,2019,https://dl.acm.org/doi/10.5555/3454287.3454314,
142,Learning certified individually fair representations,"Anian Ruoss, Mislav Balunovic, Marc Fischer,  Martin Vechev",,"Statistical Modeling-General, Mitigation",NeurIPS,2020,https://dl.acm.org/doi/10.5555/3495724.3496360,
143,On Dyadic Fairness: Exploring and Mitigating Bias in Graph Connections,"Peizhao Li, Yifei Wang, Han Zhao, Pengyu Hong,  Hongfu Liu",,"Statistical Modeling-General, Mitigation",ICLR,2021,https://openreview.net/forum?id=xgGS6PmzNq6,
144,Fair Normalizing Flows,"Mislav Balunovic, Anian Ruoss,  Martin Vechev",,"Statistical Modeling-General, Mitigation",ICLR,2022,https://openreview.net/forum?id=BrFIKuxrZE,
145,Decoupled Classifiers for Group-Fair and Efficient Machine Learning,"Cynthia Dwork, Nicole Immorlica, Adam Tauman Kalai,  Max Leiserson",,"Statistical Modeling-General, Mitigation",FAccT,2018,https://proceedings.mlr.press/v81/dwork18a.html,
146,Recommendation Independence,"Toshihiro Kamishima, Shotaro Akaho, Hideki Asoh,  Jun Sakuma",,"Statistical Modeling-General, Mitigation",FAccT,2018,https://proceedings.mlr.press/v81/kamishima18a.html,
147,Balanced Neighborhoods for Multi-sided Fairness in Recommendation,"Robin Burke, Nasim Sonboli,  Aldo Ordonez-Gauger",,"Statistical Modeling-General, Mitigation",FAccT,2018,https://proceedings.mlr.press/v81/burke18a.html,
148,Mitigating Bias in Set Selection with Noisy Protected Attributes,"Anay Mehrotra, L. Elisa Celis",,"Statistical Modeling-General, Mitigation",FAccT,2021,https://dl.acm.org/doi/10.1145/3442188.3445887,
149,Achieving Fairness via Post-Processing in Web-Scale Recommender Systems,"Preetam Ny, Cyrus DiCiccio, Divya Venugopalan, Heloise Logan, Kinjal Basu,  Noureddine El Karoui",,"Statistical Modeling-General, Mitigation",FAccT,2022,https://dl.acm.org/doi/10.1145/3531146.3533136,
150,Learning Optimal Fair Policies,"Razieh Nabi, Daniel Malinsky,  Ilya Shpitser",,"Statistical Modeling-General, Mitigation",ICML,2019,https://proceedings.mlr.press/v97/nabi19a.html,
151,"Contrastive Mixture of Posteriors for Counterfactual Inference, Data Integration and Fairness","Adam Foster, Arpi Vezer, Craig A. Glastonbury, Paidi Creed, Samer Abujudeh,  Aaron Sim",,"Statistical Modeling-General, Mitigation",ICML,2022,https://proceedings.mlr.press/v162/foster22a.html,
152,Mitigating Unwanted Biases with Adversarial Learning,"Brian Hu Zhang, Blake Lemoine,  Margaret Mitchell",,"Statistical Modeling-General, Mitigation (Traditional)",AIES,2018,https://dl.acm.org/doi/10.1145/3278721.3278779,
153,Multiaccuracy: Black-Box Post-Processing for Fairness in Classification,"Michael P. Kim, Amirata Ghorbani,  James Zou",,"Statistical Modeling-General, Mitigation (Traditional)",AIES,2019,https://dl.acm.org/doi/10.1145/3306618.3314287,
154,FaiR-N: Fair and Robust Neural Networks for Structured Data,"Shubham Sharma, Alan H. Gee, David Paydarfar,  Joydeep Ghosh",,"Statistical Modeling-General, Mitigation (Traditional)",AIES,2021,https://dl.acm.org/doi/10.1145/3461702.3462559,
155,Mitigating Racial Biases in Toxic Language Detection with an Equity-Based Ensemble Framework,"Matan Halevy, Camille Harris, Amy Bruckman, Diyi Yang,  Ayanna Howard",,"Statistical Modeling-General, Mitigation (Traditional)",EAAMO,2021,https://dl.acm.org/doi/10.1145/3465416.3483299,
156,Fairness without Demographics through Adversarially Reweighted Learning,"Preethi Lahoti, Alex Beutel, Jilin Chen, Kang Lee, Flavien Prost, Nithum Thain, Xuezhi Wang,  Ed Chi",,"Statistical Modeling-General, Mitigation (Traditional)",NeurIPS,2020,https://proceedings.neurips.cc/paper/2020/hash/07fc15c9d169ee48573edd749d25945d-Abstract.html,
157,Post-processing for Individual Fairness,"Felix Petersen, Debarghya Mukherjee, Yuekai Sun,  Mikhail Yurochkin",,"Statistical Modeling-General, Mitigation (Traditional)",NeurIPS,2021,https://openreview.net/forum?id=qGeqg4_hA2,
158,Conditional Learning of Fair Representations,"Han Zhao, Ama Coston, Tameem Adel,  Geoffrey J. Gordon",,"Statistical Modeling-General, Mitigation (Traditional)",ICLR,2020,https://openreview.net/forum?id=Hkekl0NFPr,
159,FairCal: Fairness Calibration for Face Verification,"Tiago Salvador, Stephanie Cairns, Vikram Voleti, Noah Marshall,  Adam M Oberman",,"Statistical Modeling-General, Mitigation (Traditional)",ICLR,2022,https://openreview.net/forum?id=nRj0NcmSuxb,
160,Providing Item-side Individual Fairness for Deep Recommender Systems,"Xiuling Wang, Wendy Hui Wang",,"Statistical Modeling-General, Mitigation (Traditional)",FAccT,2022,https://dl.acm.org/doi/10.1145/3531146.3533079,
161,FADE: FAir Double Ensemble Learning for Observable and Counterfactual Outcomes,"Alan Mishler, Edward H. Kennedy",,"Statistical Modeling-General, Mitigation (Traditional)",FAccT,2022,https://doi.org/10.1145/3531146.3533167,
162,Fairness-aware Model-agnostic Positive and Unlabeled Learning,"Ziwei Wu, Jingrui He",,"Statistical Modeling-General, Mitigation (Traditional)",FAccT,2022,https://dl.acm.org/doi/abs/10.1145/3531146.3533225,
163,A Reductions Approach to Fair Classification,"Alekh Agarwal, Alina Beygelzimer, Miroslav Dudik, John Langford,  Hanna Wallach",,"Statistical Modeling-General, Mitigation (Traditional)",ICML,2018,https://proceedings.mlr.press/v80/agarwal18a.html,
164,Blind Justice: Fairness with Encrypted Sensitive Attributes,"Niki Kilbertus, Adria Gascon, Matt Kusner, Michael Veale, Krishna Gummadi,  Adrian Weller",,"Statistical Modeling-General, Mitigation (Traditional)",ICML,2018,https://proceedings.mlr.press/v80/kilbertus18a.html,
165,Learning Adversarially Fair and Transferable Representations,"David Madras, Elliot Creager, Toniann Pitassi,  Richard Zemel",,"Statistical Modeling-General, Mitigation (Traditional)",ICML,2018,https://proceedings.mlr.press/v80/madras18a.html,
166,Fair Mixup: Fairness via Interpolation,"Ching-Yao Chuang, Youssef Mroueh",,"Statistical Modeling-General, Mitigation (Traditional)",ICLR,2021,https://openreview.net/forum?id=DNl5s5BXeBn,
167,Classification with Fairness Constraints: A Meta-Algorithm with Provable Guarantees,"L Elisa Celis, Lingxiao Huang, Vijay Keswani,  Nisheeth K Vishnoi",,"Statistical Modeling-General, Mitigation (Traditional)",FAccT,2019,https://dl.acm.org/doi/10.1145/3287560.3287586,
168,Counterfactual Fairness in Text Classification through Robustness,"Sahaj Garg, Vincent Perot, Nicole Limtiaco, Ankur Taly, Ed H. Chi,  Alex Beutel",,"Statistical Modeling-General, Mitigation (Traditional)",AIES,2019,https://dl.acm.org/doi/10.1145/3306618.3317950,
169,Nonconvex Optimization for Regression with Fairness Constraints,"Junpei Komiyama, Akiko Takeda, Junya Honda,  Hajime Shimao",,"Statistical Modeling-General, Mitigation (Traditional)",ICML,2018,https://proceedings.mlr.press/v80/komiyama18a.html,
170,Taking Advantage of Multitask Learning for Fair Classification,"Luca Oneto, Michele Doninini, Amon Elders,  Massimiliano Pontil",,"Statistical Modeling-General, Mitigation (Traditional)",AIES,2019,https://dl.acm.org/doi/10.1145/3306618.3314255,
171,Accounting for Model Uncertainty in Algorithmic Discrimination,"Junaid Ali, Preethi Lahoti,  Krishna P. Gummadi",,"Statistical Modeling-General, Mitigation (Traditional)",AIES,2021,https://dl.acm.org/doi/10.1145/3461702.3462630,
172,Marrying Fairness and Explainability in Supervised Learning,"Przemyslaw A. Grabowicz, Nicholas Perello,  Aarshee Mishra",,"Statistical Modeling-General, Mitigation (Traditional)",FAccT,2022,https://dl.acm.org/doi/10.1145/3531146.3533236,
173,"It’s Not Fairness, and It’s Not Fair: The Failure of Distributional Equality and the Promise of Relational Equality in Complete-Information Hiring Games","Benjamin Fish, Luke Stark",,"Statistical Modeling-General, Mitigation (Traditional)",EAAMO,2022,https://dl.acm.org/doi/10.1145/3551624.3555296,
174,A Just Approach Balancing Rawlsian Leximax Fairness and Utilitarianism,"Violet (Xinying) Chen, J. N. Hooker",,"Statistical Modeling-General, Mitigation (Traditional)",AIES,2020,https://dl.acm.org/doi/10.1145/3375627.3375844,
175,An Algorithmic Framework for Positive Action,"Oliver Thomas, Miri Zilka, Adrian Weller,  Novi Quadrianto",,"Statistical Modeling-General, Mitigation (Traditional)",EAAMO,2021,https://dl.acm.org/doi/10.1145/3465416.3483303,
176,Recycling privileged learning and distribution matching for fairness,"Novi Quadrianto, Viktoriia Sharmanska",,"Statistical Modeling-General, Mitigation (Traditional)",NeurIPS,2017,https://dl.acm.org/doi/abs/10.5555/3294771.3294836,
177,Counterfactual Fairness,"Matt J Kusner, Joshua Loftus, Chris Russell,  Ricardo Silva",,"Statistical Modeling-General, Mitigation (Traditional)",NeurIPS,2017,https://dl.acm.org/doi/10.5555/3294996.3295162,
178,Empirical risk minimization under fairness constraints,"Michele Donini, Luca Oneto, Shai Ben-David, John S Shawe-Taylor,  Massimiliano Pontil",,"Statistical Modeling-General, Mitigation (Traditional)",NeurIPS,2018,https://dl.acm.org/doi/10.5555/3327144.3327203,
179,Fairness Behind a Veil of Ignorance: A Welfare Analysis for Automated Decision Making,"Hoda Heidari, Claudio Ferrari, Krishna Gummadi,  Andreas Krause",,"Statistical Modeling-General, Mitigation (Traditional)",NeurIPS,2018,https://papers.nips.cc/paper_files/paper/2018/hash/be3159ad04564bfb90db9e32851ebf9c-Abstract.html,
180,Individually Fair Rankings,"Ama Bower, Hamid Eftekhari, Mikhail Yurochkin,  Yuekai Sun",,"Statistical Modeling-General, Mitigation (Traditional)",ICLR,2021,https://openreview.net/forum?id=71zCSP%5FHuBN,
181,Individually Fair Gradient Boosting,"Alexer Vargo, Fan Zhang, Mikhail Yurochkin,  Yuekai Sun",,"Statistical Modeling-General, Mitigation (Traditional)",ICLR,2021,https://openreview.net/forum?id=JBAa9we1AL,
182,SenSeI: Sensitive Set Invariance for Enforcing Individual Fairness,"Mikhail Yurochkin, Yuekai Sun",,"Statistical Modeling-General, Mitigation (Traditional)",ICLR,2021,https://openreview.net/forum?id=DktZb97%5FFx,
183,Controlling Directions Orthogonal to a Classifier,"Yilun Xu, Hao He, Tianxiao Shen,  Tommi S. Jaakkola",,"Statistical Modeling-General, Mitigation (Traditional)",ICLR,2022,https://openreview.net/forum?id=DIjCrlsu6Z,
184,Offline Contextual Bandits with High Probability Fairness Guarantees,"Blossom Metevier, Stephen Giguere, Sarah Brockman, Ari Kobren, Yuriy Brun, Emma Brunskill,  Philip S. Thomas",,"Statistical Modeling-General, Mitigation (Traditional)",NeurIPS,2019,https://papers.nips.cc/paper_files/paper/2019/hash/d69768b3da745b77e82cdbddcc8bac98-Abstract.html,
185,Approximate Heavily-Constrained Learning with Lagrange Multiplier Models,"Harikrishna Narasimhan, Andrew Cotter, Yichen Zhou, Serena Wang,  Wenshuo Guo",,"Statistical Modeling-General, Mitigation (Traditional)",NeurIPS,2020,https://proceedings.neurips.cc/paper/2020/hash/62db9e3397c76207a687c360e0243317-Abstract.html,
186,Group-Fair Online Allocation in Continuous Time,"Semih Cayci, Swati Gupta,  Atilla Eryilmaz",,"Statistical Modeling-General, Mitigation (Traditional)",NeurIPS,2020,https://proceedings.neurips.cc/paper/2020/hash/9ec0cfdc84044494e10582436e013e64-Abstract.html,
187,Fairness Violations and Mitigation under Covariate Shift,"Harvineet Singh, Rina Singh, Vishwali Mhasawade,  Rumi Chunara",,"Statistical Modeling-General/Deployment and Integration-General, Mitigation (Traditional)",FAccT,2021,https://doi.org/10.1145/3351095.3372839,
188,Fair Algorithms for Learning in Allocation Problems,"Hadi Elzayn, Shahin Jabbari, Christopher Jung, Michael Kearns, Seth Neel, Aaron Roth,  Zachary Schutzman",,"Statistical Modeling-General, Mitigation (Traditional)",FAccT,2019,https://dl.acm.org/doi/10.1145/3287560.3287571,
189,Preventing Fairness Gerrymandering: Auditing and Learning for Subgroup Fairness,"Michael Kearns, Seth Neel, Aaron Roth,  Zhiwei Steven Wu",,"Statistical Modeling-General, Mitigation (Traditional)",ICML,2018,https://proceedings.mlr.press/v80/kearns18a.html,
190,Probably Approximately Metric-Fair Learning,"Gal Yona, Guy Rothblum",,"Statistical Modeling-General, Mitigation (Traditional)",ICML,2018,https://proceedings.mlr.press/v80/yona18a.html,
191,Training Well-Generalizing Classifiers for Fairness Metrics and Other Data-Dependent Constraints,"Andrew Cotter, Maya Gupta, Heinrich Jiang, Nathan Srebro, Karthik Sridharan, Serena Wang, Blake Woodworth,  Seungil You",,"Statistical Modeling-General, Mitigation (Traditional)",ICML,2019,https://proceedings.mlr.press/v97/cotter19b.html,
192,Non-Discriminatory Machine Learning through Convex Fairness Criteria,"Naman Goel, Mohammad Yaghini,  Boi Faltings",,"Statistical Modeling-General, Mitigation (Traditional)",AIES,2018,https://dl.acm.org/doi/10.1145/3278721.3278722,
193,Fair Forests: Regularized Tree Induction to Minimize Model Bias,"Edward Raff, Jared Sylvester,  Steven Mills",,"Statistical Modeling-General, Mitigation (Traditional)",AIES,2018,https://dl.acm.org/doi/10.1145/3278721.3278742,
194,RAWLSNET: Altering Bayesian Networks to Encode Rawlsian Fair Equality of Opportunity,"David Liu, Zohair Shafi, William Fleisher, Tina Eliassi-Rad,  Scott Alfeld",,"Statistical Modeling-General, Mitigation (Traditional)",AIES,2021,https://dl.acm.org/doi/10.1145/3461702.3462618,
195,Rawlsian Fair Adaptation of Deep Learning Classifiers,"Kulin Shah, Pooja Gupta, Amit Deshpe,  Chiranjib Bhattacharyya",,"Statistical Modeling-General, Mitigation (Traditional)",AIES,2021,https://dl.acm.org/doi/10.1145/3461702.3462592,
196,On Human-Aligned Risk Minimization,"Liu Leqi, Adarsh Prasad,  Pradeep K Ravikumar",,"Statistical Modeling-General, Mitigation (Traditional)",ICML,2019,https://papers.nips.cc/paper_files/paper/2019/hash/cd6b73b67c77edeaff94e24b961119dd-Abstract.html,
197,Fair regression via plug-in estimator and recalibration with statistical guarantees,"Evgenii Chzhen, Christophe Denis, Mohamed Hebiri, Luca Oneto,  Massimiliano Pontil",,"Statistical Modeling-General, Mitigation (Traditional)",NeurIPS,2020,https://proceedings.neurips.cc/paper/2020/hash/ddd808772c035aed516d42ad3559be5f-Abstract.html,
198,Metric-free individual fairness in online learning,"Yahav Bechavod, Christopher Jung,  Zhiwei Steven Wu",,"Statistical Modeling-General, Mitigation (Traditional)",NeurIPS,2020,https://dl.acm.org/doi/10.5555/3495724.3496665,
199,Two-sided fairness in rankings via Lorenz dominance,"Virginie Do, Sam Corbett-Davies, Jamal Atif,  Nicolas Usunier",,"Statistical Modeling-General, Mitigation (Traditional)",NeurIPS,2021,https://proceedings.neurips.cc/paper/2021/hash/48259990138bc03361556fb3f94c5d45-Abstract.html,
200,Fairness in Risk Assessment Instruments: Post-Processing to Achieve Counterfactual Equalized Odds,"Alan Mishler, Edward H. Kennedy,  Alexra Chouldechova",,"Statistical Modeling-General, Mitigation (Traditional)",FAccT,2021,https://dl.acm.org/doi/10.1145/3442188.3445902,
201,Fast online ranking with fairness of exposure,"Nicolas Usunier, Virginie Do,  Elvis Dohmatob",,"Statistical Modeling-General, Mitigation (Traditional)",FAccT,2022,https://dl.acm.org/doi/10.1145/3531146.3534633,
202,Multicalibration: Calibration for the (Computationally-Identifiable) Masses,"Ursula Hebert-Johnson, Michael Kim, Omer Reingold,  Guy Rothblum",,"Statistical Modeling-General, Mitigation (Traditional)",ICML,2018,https://proceedings.mlr.press/v80/hebert-johnson18a.html,
203,Fair Regression: Quantitative Definitions and Reduction-Based Algorithms,"Alekh Agarwal, Miroslav Dudik,  Zhiwei Steven W",,"Statistical Modeling-General, Mitigation (Traditional)",ICML,2019,https://proceedings.mlr.press/v97/agarwal19d.html,
204,Unlocking fairness: a trade-off revisited,"Michael Wick, Swetasudha Pa,  Jean-Baptiste Tristan",,"Statistical Modeling-General, Mitigation",NeurIPS,2019,https://dl.acm.org/doi/10.5555/3454287.3455075,
205,Fairness in Relational Domains,"Golnoosh Farnadi, Behrouz Babaki,  Lise Getoor",,"Statistical Modeling-General, Mitigation (Traditional)",AIES,2018,https://dl.acm.org/doi/10.1145/3278721.3278733,
206,Near Neighbor: Who is the Fairest of Them All?,"Sariel Har-Peled, Sepideh Mahabadi",,"Statistical Modeling-General, Mitigation (Traditional)",NeurIPS,2019,https://papers.nips.cc/paper_files/paper/2019/hash/742141ceda6b8f6786609d31c8ef129f-Abstract.html,
207,Rényi Fair Inference,"Sina Baharlouei, Maher Nouiehed, Ahmad Beirami,  Meisam Razaviyayn",,"Statistical Modeling-General, Mitigation (Traditional)",ICLR,2020,https://openreview.net/forum?id=HkgsUJrtDB,
208,Training individually fair ML models with sensitive subspace robustness,"Mikhail Yurochkin, Ama Bower,  Yuekai Sun",,"Statistical Modeling-General, Mitigation (Traditional)",ICLR,2020,https://openreview.net/forum?id=B1gdkxHFDH,
209,Certifying Robustness to Programmable Data Bias in Decision Trees,"Anna Meyer, Aws Albarghouthi,  Loris D' Antoni",,"Statistical Modeling-General, Mitigation",NeurIPS,2021,https://proceedings.neurips.cc/paper/2021/hash/dcf531edc9b229acfe0f4b87e1e278dd-Abstract.html,
210,Fair Performance Metric Elicitation,"Gaurush Hiranani, Harikrishna Narasimhan,  Sanmi Koyejo",,"Testing and Validation-Evaluation Metrics, Problem Identification",NeurIPS,2020,https://proceedings.neurips.cc/paper/2020/hash/7ec2442aa04c157590b2fa1a7d093a33-Abstract.html,
211,Is Fairness Only Metric Deep? Evaluating and Addressing Subgroup Gaps in Deep Metric Learning,"Natalie Dullerud, Karsten Roth, Kimia Hamidieh, Nicolas Papernot,  Marzyeh Ghassemi",,"Testing and Validation-Evaluation Metrics, Problem Identification",ICLR,2022,https://openreview.net/forum?id=js62%5FxuLDDv,
212,"Model Multiplicity: Opportunities, Concerns, and Solutions","Emily Black, Manish Raghavan,  Solon Barocas",,"Testing and Validation-Evaluation Metrics, Problem Identification",FAccT,2022,https://dl.acm.org/doi/10.1145/3531146.3533149,
213,Affirmative Algorithms: Relational Equality as Algorithmic Fairness,Marilyn Zhang,,"Testing and Validation-Evaluation Metrics, Problem Identification (Traditional)",FAccT,2022,https://dl.acm.org/doi/10.1145/3531146.3533115,
214,Fair Sequential Selection Using Supervised Learning Models,"Mohammad Mahdi Khalili, Xueru Zhang,  Mahed Abroshan",,"Testing and Validation-Evaluation Metrics, Problem Identification",NeurIPS,2021,https://proceedings.neurips.cc/paper/2021/hash/ed277964a8959e72a0d987e598dfbe72-Abstract.html,
215,Fairness Criteria for Face Recognition Applications,Filip Michalsky,,"Testing and Validation-Evaluation Metrics, Measurement (Traditional)",AIES,2019,https://dl.acm.org/doi/10.1145/3306618.3314308,
216,CERTIFAI: A Common Framework to Provide Explanations and Analyse the Fairness and Robustness of Black-box Models,"Shubham Sharma, Jette Henderson,  Joydeep Ghosh",,"Testing and Validation-Evaluation Metrics, Measurement (Traditional)",AIES,2020,https://dl.acm.org/doi/10.1145/3375627.3375812,
